longitude,latitude,floor,buildingid,spaceid,relativeposition,userid,phoneid,timestamp,validation
-7362.526500001551,4864764.065700002,3,2,230,2,2,23,1371721316,0
-7363.228232070805,4864760.277467221,3,2,230,1,2,23,1371721358,0
-7356.978100001811,4864760.987300001,3,2,232,2,2,23,1371721433,0
-7350.146999999882,4864757.249200001,3,2,236,2,2,23,1371721559,0
-7352.9321568608275,4864754.565126285,3,2,236,1,2,23,1371721594,0
-7354.719900000841,4864761.8244,3,2,235,2,2,23,1371721528,0
-7355.670499999076,4864760.262000002,3,2,234,2,2,23,1371721495,0
-7349.279599998145,4864758.806000002,3,2,237,2,2,23,1371721631,0
-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713678,0
-7536.598200000822,4864918.117200002,2,1,101,2,2,23,1371713638,0
-7348.8982000015685,4864756.556000002,3,2,238,2,2,23,1371721661,0
-7348.012899998575,4864758.103299998,3,2,239,2,2,23,1371721696,0
-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713720,0
-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713829,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713870,0
-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713794,0
-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713762,0
-7571.071074258536,4864890.459293477,2,1,112,1,2,23,1371714280,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714082,0
-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714115,0
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714187,0
-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714154,0
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714380,0
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714420,0
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714294,0
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714454,0
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714342,0
-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714721,0
-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714787,0
-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714496,0
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714543,0
-7517.912551965565,4864887.286727645,2,1,28,1,2,23,1371714817,0
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714866,0
-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714907,0
-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714933,0
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714834,0
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715214,0
-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715069,0
-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714979,0
-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715028,0
-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715120,0
-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715360,0
-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715437,0
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715406,0
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715246,0
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715291,0
-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715546,0
-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715614,0
-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715761,0
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715515,0
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715477,0
-7469.7391000017515,4864864.291500002,2,1,18,2,2,23,1371715874,0
-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715934,0
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715822,0
-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715889,0
-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716706,0
-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716623,0
-7458.26419999823,4864852.0842999965,2,1,217,2,2,23,1371716135,0
-7457.242100000381,4864853.930299997,2,1,216,2,2,23,1371716113,0
-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716678,0
-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716883,0
-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716844,0
-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716785,0
-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716813,0
-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716749,0
-7337.23213905096,4864752.848840348,3,2,243,1,2,23,1371716969,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717059,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717028,0
-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716922,0
-7407.379599999636,4864799.6941,3,2,201,2,2,23,1371717395,0
-7410.328999999911,4864800.005599998,3,2,202,2,2,23,1371717493,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717460,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717550,0
-7347.108300000428,4864748.045599997,3,2,240,2,2,23,1371717251,0
-7413.154800001532,4864789.236699998,3,2,204,2,2,23,1371720030,0
-7413.921399999409,4864785.033399999,3,2,206,2,2,23,1371720099,0
-7411.2507000006735,4864792.7678999975,3,2,203,2,2,23,1371719996,0
-7413.955299999566,4864787.794299996,3,2,205,2,2,23,1371720067,0
-7398.11080000177,4864785.8972999975,3,2,211,2,2,23,1371720280,0
-7406.063099998981,4864788.219300002,3,2,208,2,2,23,1371720171,0
-7404.705499999225,4864787.466200002,3,2,210,2,2,23,1371720240,0
-7405.100900001824,4864789.7755,3,2,207,2,2,23,1371720139,0
-7403.73600000143,4864789.018399999,3,2,209,2,2,23,1371720207,0
-7398.5587060302505,4864779.87839587,3,2,214,1,2,23,1371720443,0
-7396.896099999547,4864785.223499998,3,2,213,2,2,23,1371720342,0
-7397.859799999744,4864783.668200001,3,2,214,2,2,23,1371720372,0
-7399.109700001776,4864784.361699998,3,2,212,2,2,23,1371720310,0
-7391.35909999907,4864782.1516999975,3,2,215,2,2,23,1371720576,0
-7390.649026967585,4864785.979925662,3,2,215,1,2,23,1371720613,0
-7415.163003530352,4864796.084482223,3,2,203,1,2,23,1371720498,0
-7392.357000000775,4864780.615599996,3,2,216,2,2,23,1371720652,0
-7385.372800000012,4864776.740699999,3,2,220,2,2,23,1371720851,0
-7384.393399998547,4864778.2870000005,3,2,219,2,2,23,1371720819,0
-7390.095800001174,4864781.450599998,3,2,217,2,2,23,1371720756,0
-7391.084499999882,4864779.909699999,3,2,218,2,2,23,1371720785,0
-7395.100707694888,4864777.95992858,3,2,216,1,2,23,1371720711,0
-7384.211300000548,4864776.0964,3,2,222,2,2,23,1371720913,0
-7383.265599999577,4864777.661399998,3,2,221,2,2,23,1371720883,0
-7374.294482905418,4864777.897182643,3,2,223,1,2,23,1371720992,0
-7376.4010000005355,4864773.852899998,3,2,223,2,2,23,1371720950,0
-7377.651299998164,4864772.941299997,3,2,250,2,2,23,1371721039,0
-7369.414400000124,4864767.887100004,3,2,226,2,2,23,1371721156,0
-7370.614700000732,4864768.552900001,3,2,224,2,2,23,1371721109,0
-7368.386100001633,4864769.406199999,3,2,227,2,2,23,1371721205,0
-7369.632300000639,4864770.0979999965,3,2,225,2,2,23,1371721073,0
-7362.526500001551,4864764.065700002,3,2,230,2,2,23,1371721303,0
-7363.228232070805,4864760.277467221,3,2,230,1,2,23,1371721345,0
-7363.996100001038,4864764.880800001,3,2,228,2,2,23,1371721238,0
-7361.5406999997795,4864765.608599998,3,2,231,2,2,23,1371721388,0
-7354.719900000841,4864761.8244,3,2,235,2,2,23,1371721515,0
-7356.978100001811,4864760.987300001,3,2,232,2,2,23,1371721420,0
-7356.0102000012985,4864762.5402000025,3,2,233,2,2,23,1371721449,0
-7350.146999999882,4864757.249200001,3,2,236,2,2,23,1371721546,0
-7355.670499999076,4864760.262000002,3,2,234,2,2,23,1371721482,0
-7348.012899998575,4864758.103299998,3,2,239,2,2,23,1371721683,0
-7352.9321568608275,4864754.565126285,3,2,236,1,2,23,1371721582,0
-7348.8982000015685,4864756.556000002,3,2,238,2,2,23,1371721648,0
-7349.279599998145,4864758.806000002,3,2,237,2,2,23,1371721618,0
-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713764,0
-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713721,0
-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713796,0
-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713679,0
-7536.598200000822,4864918.117200002,2,1,101,2,2,23,1371713639,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714083,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713872,0
-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714116,0
-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714155,0
-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713830,0
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714344,0
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714295,0
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714189,0
-7571.071074258536,4864890.459293477,2,1,112,1,2,23,1371714281,0
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714456,0
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714382,0
-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714498,0
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714421,0
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714545,0
-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714792,0
-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714717,0
-7526.710926756264,4864892.801808476,2,1,15,1,2,23,1371714750,0
-7517.912551965565,4864887.286727645,2,1,28,1,2,23,1371714818,0
-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714934,0
-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714908,0
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714836,0
-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714981,0
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714868,0
-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715121,0
-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715070,0
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715216,0
-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715029,0
-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715362,0
-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715441,0
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715405,0
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715292,0
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715247,0
-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715762,0
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715479,0
-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715548,0
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715517,0
-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715937,0
-7480.431491758674,4864867.1309280535,2,1,17,1,2,23,1371715960,0
-7457.242100000381,4864853.930299997,2,1,216,2,2,23,1371716100,0
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715824,0
-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715890,0
-7458.26419999823,4864852.0842999965,2,1,217,2,2,23,1371716135,0
-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716708,0
-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716679,0
-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716624,0
-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716815,0
-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716846,0
-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716751,0
-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716786,0
-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716885,0
-7337.23213905096,4864752.848840348,3,2,243,1,2,23,1371716971,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717060,0
-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716923,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717029,0
-7407.379599999636,4864799.6941,3,2,201,2,2,23,1371717396,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717461,0
-7408.288427382708,4864803.464716807,3,2,201,1,2,23,1371717548,0
-7347.108300000428,4864748.045599997,3,2,240,2,2,23,1371717253,0
-7410.328999999911,4864800.005599998,3,2,202,2,2,23,1371717494,0
-7411.2507000006735,4864792.7678999975,3,2,203,2,2,23,1371719998,0
-7413.921399999409,4864785.033399999,3,2,206,2,2,23,1371720100,0
-7413.955299999566,4864787.794299996,3,2,205,2,2,23,1371720068,0
-7413.154800001532,4864789.236699998,3,2,204,2,2,23,1371720031,0
-7405.100900001824,4864789.7755,3,2,207,2,2,23,1371720140,0
-7404.705499999225,4864787.466200002,3,2,210,2,2,23,1371720242,0
-7406.063099998981,4864788.219300002,3,2,208,2,2,23,1371720172,0
-7398.11080000177,4864785.8972999975,3,2,211,2,2,23,1371720282,0
-7403.73600000143,4864789.018399999,3,2,209,2,2,23,1371720208,0
-7399.109700001776,4864784.361699998,3,2,212,2,2,23,1371720311,0
-7396.896099999547,4864785.223499998,3,2,213,2,2,23,1371720343,0
-7397.859799999744,4864783.668200001,3,2,214,2,2,23,1371720374,0
-7398.5587060302505,4864779.87839587,3,2,214,1,2,23,1371720445,0
-7415.163003530352,4864796.084482223,3,2,203,1,2,23,1371720500,0
-7390.649026967585,4864785.979925662,3,2,215,1,2,23,1371720614,0
-7392.357000000775,4864780.615599996,3,2,216,2,2,23,1371720653,0
-7391.35909999907,4864782.1516999975,3,2,215,2,2,23,1371720578,0
-7390.095800001174,4864781.450599998,3,2,217,2,2,23,1371720758,0
-7391.084499999882,4864779.909699999,3,2,218,2,2,23,1371720786,0
-7385.372800000012,4864776.740699999,3,2,220,2,2,23,1371720853,0
-7384.393399998547,4864778.2870000005,3,2,219,2,2,23,1371720821,0
-7395.100707694888,4864777.95992858,3,2,216,1,2,23,1371720714,0
-7384.211300000548,4864776.0964,3,2,222,2,2,23,1371720914,0
-7376.4010000005355,4864773.852899998,3,2,223,2,2,23,1371720952,0
-7374.294482905418,4864777.897182643,3,2,223,1,2,23,1371720993,0
-7383.265599999577,4864777.661399998,3,2,221,2,2,23,1371720884,0
-7369.632300000639,4864770.0979999965,3,2,225,2,2,23,1371721074,0
-7369.414400000124,4864767.887100004,3,2,226,2,2,23,1371721152,0
-7377.651299998164,4864772.941299997,3,2,250,2,2,23,1371721041,0
-7368.386100001633,4864769.406199999,3,2,227,2,2,23,1371721206,0
-7370.614700000732,4864768.552900001,3,2,224,2,2,23,1371721111,0
-7363.228232070805,4864760.277467221,3,2,230,1,2,23,1371721347,0
-7363.996100001038,4864764.880800001,3,2,228,2,2,23,1371721241,0
-7362.526500001551,4864764.065700002,3,2,230,2,2,23,1371721304,0
-7363.03830000013,4864766.439499997,3,2,229,2,2,23,1371721272,0
-7361.5406999997795,4864765.608599998,3,2,231,2,2,23,1371721390,0
-7355.670499999076,4864760.262000002,3,2,234,2,2,23,1371721484,0
-7354.719900000841,4864761.8244,3,2,235,2,2,23,1371721517,0
-7356.978100001811,4864760.987300001,3,2,232,2,2,23,1371721421,0
-7356.0102000012985,4864762.5402000025,3,2,233,2,2,23,1371721451,0
-7349.279599998145,4864758.806000002,3,2,237,2,2,23,1371721620,0
-7348.8982000015685,4864756.556000002,3,2,238,2,2,23,1371721650,0
-7350.146999999882,4864757.249200001,3,2,236,2,2,23,1371721547,0
-7352.9321568608275,4864754.565126285,3,2,236,1,2,23,1371721583,0
-7536.598200000822,4864918.117200002,2,1,101,2,2,23,1371713640,0
-7541.264299999922,4864920.7782000005,2,1,106,2,2,23,1371713723,0
-7527.451099999249,4864929.146399997,2,1,101,2,2,23,1371713765,0
-7348.012899998575,4864758.103299998,3,2,239,2,2,23,1371721684,0
-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713681,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371713873,0
-7524.570399999618,4864934.093000002,2,1,102,2,2,23,1371713797,0
-7519.152399998158,4864949.532200001,2,1,103,2,2,23,1371714085,0
-7533.896200001241,4864939.258299999,2,1,105,2,2,23,1371713831,0
-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714118,0
-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714156,0
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714297,0
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714190,0
-7571.071074258536,4864890.459293477,2,1,112,1,2,23,1371714283,0
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714383,0
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714423,0
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714345,0
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714457,0
-7520.724500000478,4864892.4384,2,1,15,2,2,23,1371714728,0
-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714790,0
-7526.710926756264,4864892.801808476,2,1,15,1,2,23,1371714750,0
-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714499,0
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714546,0
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714838,0
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714869,0
-7517.912551965565,4864887.286727645,2,1,28,1,2,23,1371714820,0
-7516.088799998164,4864889.878200002,2,1,16,2,2,23,1371714909,0
-7480.124099999665,4864894.9306000015,2,1,10,2,2,23,1371715123,0
-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715072,0
-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714936,0
-7489.177499998361,4864899.944899999,2,1,10,2,2,23,1371715031,0
-7502.449700001627,4864884.176100002,2,1,22,2,2,23,1371714982,0
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715249,0
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715217,0
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715294,0
-7506.731899999082,4864850.683999999,2,1,4,2,2,23,1371715363,0
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715406,0
-7516.474500000478,4864844.597199999,2,1,6,2,2,23,1371715441,0
-7504.881400000304,4864865.5295,2,1,9,2,2,23,1371715549,0
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715480,0
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715518,0
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715825,0
-7466.291100092231,4864859.3389488915,2,1,18,1,2,23,1371715891,0
-7474.652600001544,4864865.9525000015,2,1,27,2,2,23,1371715764,0
-7469.7391000017515,4864864.291500002,2,1,18,2,2,23,1371715867,0
-7331.747999999671,4864767.318000004,3,2,247,2,2,23,1371716681,0
-7480.431491758674,4864867.1309280535,2,1,17,1,2,23,1371715962,0
-7331.400499999522,4864768.478600003,3,2,248,2,2,23,1371716626,0
-7461.524049259721,4864852.0464766035,2,1,217,1,2,23,1371716186,0
-7474.582499999553,4864866.872299999,2,1,17,2,2,23,1371715931,0
-7336.700399998575,4864764.478799999,3,2,246,2,2,23,1371716752,0
-7337.394799999893,4864763.226999998,3,2,245,2,2,23,1371716787,0
-7340.524599999189,4864757.585900001,3,2,244,2,2,23,1371716816,0
-7341.214999999851,4864756.341499999,3,2,243,2,2,23,1371716847,0
-7327.492165092379,4864766.668530561,3,2,247,1,2,23,1371716709,0
-7339.1538871750245,4864749.384690456,3,2,242,1,2,23,1371716925,0
-7344.968400001526,4864749.5759999985,3,2,241,2,2,23,1371717031,0
-7344.211399998516,4864750.939999999,3,2,242,2,2,23,1371716886,0
